,Url,Alt. namn,Adress,Namn
340,Visa/folkskoleseminariet-for-manliga-elever/cd98837c-d661-4bb6-ba71-450b691cb00f,,,Folkskoleseminariet för manliga elever
341,Visa/kungsholms-lagre-elementarlaroverk/35500d81-9cdf-4b1c-b08f-45da92d3ceec,Ulrica Eleonora Schola / Ulrika Eleonora skola / Ulrika Eleonora apologistskola / Kungsholms kyrkskola / Kungsholms lägre apologistskola / Kungsholms församlings skola / Ulrika Eleonora kyrkskola / Ulricae Eleonorae Scholae / Ulrika Eleonora lägre apologistskola,Garvargatan 4,Kungsholms lägre elementarläroverk
342,Visa/bagarmossens-vuxengymnasium/94c5e948-2efa-47da-8952-4602cdefdf73,,,Bagarmossens vuxengymnasium
343,Visa/akalla-ro--1976-1991/174c4f2d-b78b-4ffc-8953-460ee393bc2b,,,Akalla ro  1976-1991
344,Visa/adolf-fredriks-forsamlings-skolrad/32437d44-1668-43e6-8fd0-466046270d22,,,Adolf Fredriks församlings skolråd
345,Visa/ovningsskolor/d5f55652-867a-43de-b860-467bb4ea38e1,,,Övningsskolor
346,Visa/birkaskolan/fadcb8e6-6465-4345-9b96-467c4892aa40,,"1988-1995 Tomtebogatan 4
1995-     Karlbergsvägen 86B (i Birkagården)",Birkaskolan
347,Visa/alviks-odro--1940-1991/e18b09cb-b206-4573-90bf-46a84ab8895c,,,Alviks öd/ro  1940-1991
348,Visa/pedagogiska-larokursen/4806b79d-b3ad-4c49-94b2-46da84c839f1,,,Pedagogiska lärokursen
349,Visa/herrangens-gamla-skola/8881613e-9ad3-4cc6-b247-46f00e9893eb,Herrängens folkskola,Herrängsvägen 21,Herrängens gamla skola
350,Visa/adolf-fredriks-musikklasser/f26dd91a-f7b4-49a9-89bf-46f98ded0a4b,Adolf Fredriks skola / Adolf Fredriks folkskola,Tegnérgatan 44-46,Adolf Fredriks musikklasser
351,Visa/allmanna-barnhusets-skola/0e30b3b2-16d7-4a1a-8ded-47127039a366,,"1758 Stora Barnhusgatan 
1868 Drottninggatan 73 
1887 Norrtullsgatan 14 (annan uppg. from 1885)",Allmänna barnhusets skola
352,Visa/stadshagens-vardgymnasium/1d8e15fd-4fb0-4040-891f-472a38baeddf,S:t Görans sjuksköterskeskola; S:t Görans sjukvårdsskola,S:t Göransgatan 145,Stadshagens vårdgymnasium
353,Visa/lunaskolan-sodra/5427c73f-fa6c-4531-85f7-4745677c9a83,,"Kilabergsvägen 8
2019- Karlsövägen 9",Lunaskolan Södra
