,Url,Alt. namn,Adress,Namn
681,Visa/olympen-grundskola-telefonplan/68dc842e-a7b7-44e6-b768-8399168235ff,Olympens grundskola Telefonplan,"2011-2017 Tellusborgsvägen 96
2017-      Flygelgatan 1","Olympen grundskola, Telefonplan"
682,Visa/annaskolan-detthowska-skolan/75ed0399-8329-48e2-88eb-839fdf717d3f,Detthowska-Annaskolan,Eriksbergsgatan 10,Annaskolan-Detthowska skolan
683,Visa/distra-skola-syd/3e320cba-25dc-47e0-8d24-83e4ea341b6a,,Hallvägen 14-16,Distra skola syd
684,Visa/skoldirektionen-sd/62ec846a-c4a3-41ca-bbdf-84167770343e,Stockholms skoldirektion,,Skoldirektionen (SD)
685,Visa/skolor-vid-mellanvardsalternativ-mva/7271c2c0-8f8a-4a82-8fcb-8438ee47ec56,,,Skolor vid Mellanvårdsalternativ (MVA)
686,Visa/hogre-allmanna-laroverket-for-gossar-a-sodermalm/6d107f81-1352-44b7-828f-8463a2681b23,Stockholms högre allmänna å latinlinjen fullständiga läroverk (å Södermalm) / Högre latinläroverket å Södermalm / Högre allmänna läroverket å Södermalm / Södermalms högre allmänna läroverk,Skaraborgsgatan 14,Högre allmänna läroverket för gossar å Södermalm
687,Visa/storholmsskolan/2c7fb182-0e23-40d2-8778-848529df18c3,,Vårholmsbacken 83-87,Storholmsskolan
688,Visa/enskedeskolan/7d6793dc-7e17-4645-8f85-853c3d4d4f64,Enskede nya skola / Enskede nya folkskola / Enskede skola,Stockholmsvägen 30,Enskedeskolan
689,Visa/innerstadens-waldorfskola/cf88dbeb-cd4b-495d-8a13-8577b1fce232,,se Historik mm !,Innerstadens Waldorfskola
690,Visa/hogdalens-anpassningsverksamhet/873af39f-badb-49c7-a544-85c008d8f9e2,,Harpsundsvägen 2,Högdalens anpassningsverksamhet
691,Visa/distra-resursenhet-vast/c9560a87-6c5f-4bf4-b117-85e94dd4cd9b,Distra resursskola väst,Sysslomansgatan 20,Distra resursenhet väst
692,Visa/vastbodaskolan/093b5328-a96b-436c-978b-861bdd64c8df,,Forshagagatan 78,Västbodaskolan
693,Visa/amalia-sofia-befves-skola/2752dba4-9995-4ba6-97e9-8661cb628033,,Klara västra kyrkogata 13  1868,Amalia Sofia Befves skola
694,Visa/sallskapets-for-folkundervisningens-beframjande-normalskola/7f7faf63-2de1-49ec-bdb2-866f058d28f5,Växelundervisningssällskapets skola / Växelundervisningssällskapets normalskola,se Historik mm !,Sällskapets för folkundervisningens befrämjande normalskola
695,Visa/matteusskolan/bbf20ddf-bb72-452e-bc61-86f73c30a1f7,Adolf Fredriks norra folkskola / Matteus folkskola / (Matteusskolans grundsärskola),Vanadisvägen 16,Matteusskolan
696,Visa/liljeholmens-gymnasium/48c90cda-72a3-42e3-bc8f-8745cd98e10d,SPRINT-gymnasiet/Sprint-gymnasiet,Lövholmsvägen 2,Liljeholmens gymnasium
697,Visa/soderorts-vuxenutbildning/6daf2779-a9e1-4121-b0a9-87c2585dd28d,,Vårholmsbackarna 100,Söderorts vuxenutbildning
698,Visa/fotoskolan--dokumentarfilmskolan/95532021-97d2-4ba9-9d7c-87e6a8452d65,,Klippgatan 19,Fotoskolan / Dokumentärfilmskolan
699,Visa/tekniska-institutet-i-stockholm/944cbf13-499c-49eb-8045-87f6dc0d7702,Stiftelsen Tekniska institutet,se Historik mm!,Tekniska institutet i Stockholm
700,Visa/ekenskolan-2/a8562956-2838-4d1f-820f-8802e9c7feab,,Hagagatan 25A,Ekenskolan 2
701,Visa/studemaskolan/2f1bcf89-384e-4374-a85a-8812e9dfdc6c,,Kallforsvägen 40,Studemaskolan
702,Visa/eastmaninstitutets-tandskoterskeskola/35686da9-2ad1-4816-a076-8813b10bd4be,,Dalagatan 11,Eastmaninstitutets tandsköterskeskola
703,Visa/johannisdals-smaskola/be86a264-d8e3-4a0f-8e0b-8861f442bee6,Johannesdals småskola,,Johannisdals småskola
704,Visa/bromma-skolinrattning/2bb346de-407d-4a80-a868-8866233abdc7,,,Bromma skolinrättning
705,Visa/tyska-skolan-ab/5cbe8daf-d219-4b49-8a0f-88b31ded6f14,Deutsche Schule,Karlavägen 25,Tyska skolan AB
706,Visa/bjornbodaskolan/96317dba-b7d1-44ff-a9be-88d4616dd5ad,,Skogsnävegränd 3,Björnbodaskolan
707,Visa/alviks-horselgymnasium/4fdee2db-8186-40dd-96b3-88e3932cbf0c,,Tranebergsvägen 73,Alviks hörselgymnasium
708,Visa/tallis-resursskola/8940de3a-a481-4f3a-ad3a-88f2f70f5384,Tallkrogen resursskola / Tallkrogens skoldaghem / Björkhagens skoldaghem / Gubbängens skoldaghem,se Historik mm !,Tallis resursskola
709,Visa/nya-broskolan/6c4c526e-8e18-4ba9-974a-896a5a5d2265,,"Möjligheternas hus 06, Långbro park, Stora mans väg",Nya Broskolan
710,Visa/uppfostringssallskapet/5509006a-ced9-49a1-9b13-896d2ed1b2f3,,,Uppfostringssällskapet
711,Visa/algryteskolan/f7d973b6-980b-4078-9cb3-89bb709c73a2,Bergsskolan,Ålgrytevägen,Ålgryteskolan
712,Visa/ragsvedsskolan/fe32d0d6-8758-4758-919d-89f42416d914,Rågsveds grundskola,"Hagsätravägen,
Kumlagatan 22,
Rågsveds skolgränd 8",Rågsvedsskolan
713,Visa/ekenskolan-1/725d91a1-5d2a-4b95-b897-89fe69fdafd3,Stureby terapiskola / Stureby skola med behandling,Bastuhagsvägen 20 (besöksadress Tystbergavägen 57- from 2000?),Ekenskolan 1
714,Visa/skolan-for-psykiatrisk-vardsutbildning/61150cf3-a4b1-4f9f-8097-8a171b04d12a,,,Skolan för psykiatrisk vårdsutbildning
715,Visa/praktiska-handelsinstitutet/c90b3e7b-6bca-4d61-ab66-8a1b66a08e37,,Regeringsgatan 36,Praktiska handelsinstitutet
716,Visa/arstaskolan/317ea4e6-3767-46e1-9dac-8a51c6d94f06,,Hjälmarsvägen 72-80,Årstaskolan
717,Visa/fru-ekecrantz-skola/bc527925-0a03-4f8b-bfbf-8a74f6b640ad,Frederique Ekecrantz skola,"Björngårdsgatan 12  1863
Repslagaregatan 18  1868-1871",Fru Ekecrantz skola
718,Visa/vasa-forberedande-elementarskola/dd0b5f67-682a-4414-abb3-8a7c8473aae9,,1938 och 1952 anges Hälsingegatan 2,Vasa förberedande elementarskola
719,Visa/socialpedagogiska-seminariet-sps/5a64d717-0f46-464b-a552-8a8976596ee4,Förskoleseminariet,Kungsholmsgatan 11,Socialpedagogiska seminariet (SPS)
720,Visa/sofia-kommunala-flickskola/1b5de04f-da47-4e4f-98d5-8ad7f9f76a85,,Skånegatan 117,Sofia kommunala flickskola
721,Visa/fru-wahlmans-skola/359aff64-60a7-4dcc-8075-8b8f7f7d14e6,Ester Wahlmans skola,"1925 anges Sunnerdalsvägen 65,  Äppelviken",Fru Wahlmans skola
722,Visa/sjoangsskolan/e3d5b7f5-ba7b-485e-93c1-8b93dd3e52ab,Slottspaviljongen / Sjöängspaviljongen,Gripsholmsvägen 29-31,Sjöängsskolan
723,Visa/folkskoleseminariets-ovningsskola/c2bda0e2-981e-411c-8c86-8bb8532790a3,,Björngårdsgatan 10,Folkskoleseminariets övningsskola
724,Visa/distra-resursenhet-soder/24cad1af-e691-46dd-8932-8bd883963ae3,Distra resursskola söder,"2009-2010 Fatburs Brunnsgata 17
2010-2011 Hallvägen 14-16
2011-     Fatburs Brunnsgata 17",Distra resursenhet söder
725,Visa/magelungen-gymnasium-liljeholmen/1cbd10b2-aac8-4db6-ac2b-8bec21709030,Magelungen Liljeholmen gymnasium; Magelungens gymnasium Liljeholmen,Trekantsvägen 7,Magelungen gymnasium Liljeholmen
726,Visa/profilskolan/6df24fb8-8820-4310-9851-8c208552cfb4,von Sivers gymnasium / Första sportskolan,Krossgatan 34,Profilskolan
727,Visa/klara-sondagsskola-for-hantverkslarlingar-och-gesaller/3e708bad-4a9f-4735-99e5-8c2e3c8efa04,,,Klara söndagsskola för hantverkslärlingar och gesäller
728,Visa/husby-ro--1974-1991/680c6433-d673-46a3-b229-8cc09b0ab240,,,Husby ro  1974-1991
729,Visa/campus-manilla-gymnasium/ede857b6-1758-4dbe-bbcb-8ce7f39a4852,Fredrikshovs gymnasiet,Manillavägen 32,Campus Manilla gymnasium
730,Visa/duvbo-skola/736ca7aa-432b-418c-b670-8cfa90975c0b,Duvbo folkskola,,Duvbo skola
731,Visa/hammarby-resursskola/d3f07548-b5de-478c-bcb9-8e36804b99ff,Hammarby skoldaghem,"1969-1979 Finn Malmgrens väg 11
1979-2003 Petrejusvägen 42
2003-2004 Flygargatan 3",Hammarby resursskola
732,Visa/olaus-petri-skola/e6e34ca4-dac2-4e1d-8866-8e450201049f,Olaus Petriskolan,Olaus Petrigatan 1-3,Olaus Petri skola
733,Visa/centralskolan-al-huda/b401dd71-80d5-4dfe-bc32-8e91fa4052dc,Central skola Al Huda,se Historik mm !,Centralskolan Al-Huda
734,Visa/stockholms-samgymnasium/46f1192a-fabb-4919-a6bd-8eb028f85b5c,Stockholms samgymnasiums aftonundervisning,se Historik mm !,Stockholms samgymnasium
735,Visa/kunskapsgymnasiet-liljeholmen/4263b967-b992-4c4f-934d-8f2bd5bb0acf,Internationella kunskapsgymnasiet / Internationella gymnasiet / International College,se Historik mm!,Kunskapsgymnasiet Liljeholmen
736,Visa/orjansskolan/a3d54ac3-2675-492b-9224-8f369011f82c,,,Örjansskolan
737,Visa/varsta-skola/936f7d56-ac5c-4a48-b4fe-8f408d16687e,,,Värsta skola
738,Visa/terapiskolor--skolor-med-behandling/503f502f-4aba-4634-8430-8f567176dbf9,,,Terapiskolor / Skolor med behandling
739,Visa/herrangens-skola/48c277a2-8f12-45fd-92b1-8f8ce9e24303,,Konvaljestigen 15,Herrängens skola
740,Visa/anna-anderssons-skola/10fdf68d-f96d-42d8-a3f4-8f901b4d787a,,"1873 Hornsgatan 56 
1887 Mariagatan 18",Anna Anderssons skola
741,Visa/stockholm-international-academy-hagersten/201a745e-aa07-4d6b-aa6e-8f98942335b0,SIA Hägersten; Stockholm International Academy Älvsjö,"Sulvägen 52, Hägersten",Stockholm International Academy Hägersten
742,Visa/arsta-ro-2--1989-1991/c142a8cc-7782-4baf-bf09-8ff11fb18bcc,,,Årsta ro 2  1989-1991
743,Visa/adventistsamfundets-skola/f0475d58-d16a-46c9-a419-9002ef215b5a,Adventistskolan,1925 & 1938 anges Tunnelgatan 25,Adventistsamfundets skola
744,Visa/stockholms-rh-gymnasium/fd1c286d-d9ff-423b-8ac5-900a3d4c2519,RH-gymnasiet / (Stockholms RH-gymnasiums gymnasiesärskola),Bredholmstorget 4,Stockholms RH-gymnasium
745,Visa/amu-liljeholmen/5e53edc2-9d64-4937-8cd5-90b04b17dcee,,,AMU Liljeholmen
746,Visa/storkyrkoskolan/229d947c-457d-4b51-b651-90bcb27ccf76,,Svartmangatan 20-22,Storkyrkoskolan
747,Visa/vasa-gymnasium/909252c0-561a-455b-8e94-9141eb74d241,,Karlbergsvägen 15,Vasa gymnasium
748,Visa/kommunal-hogskola--kommunala-hogskolan/1d1e65ae-32f7-41dd-9fb2-915e5798c079,,,Kommunal högskola / Kommunala högskolan
749,Visa/fryshuset-resursskola/6a2cd3ef-77e6-4867-bde7-919796ca92be,Fryshusets skoldaghem,"1990-1996 Fryshuset (Tegelviskgatan 19-23)
1997-2007 ""Nya Fryshuset"" (fd Atlas Copco, Hammarby fabriksväg 13)",Fryshuset resursskola
750,Visa/bjorkhagens-odro1--1949-1974/831b75cc-55cc-49e4-b580-91d3104a12d1,,,Björkhagens öd/ro1  1949-1974
751,Visa/hantverksakademins-gymnasium/6c3572e9-1ee0-4f4d-9234-91d5b7b279fb,,se Historik mm !,Hantverksakademins gymnasium
752,Visa/ateneum-for-flickor/d4392db9-bc30-49e3-b74b-91e08c1e33ea,Primär- och elementarskolan / AB Ateneum för flickor / Löfvénska skolan,se Historik mm !,Ateneum för flickor
753,Visa/birkagardens-folkhogskola/14d97946-825a-47a1-9c6b-9212cb877239,,Sveavägen 41,Birkagårdens folkhögskola
754,Visa/pahlmans-handelsinstitut/34ebf161-0ee9-40c6-8688-924529dc54f1,,Hagagatan 23,Påhlmans handelsinstitut
755,Visa/ungdomscentrum-oversikt/fca05e19-7dff-4e06-90df-925b63d0354a,Ungdomscentrum Norr / Ungdomscentrum Västerort / Ungdomscentrum Zinkensdamm,,Ungdomscentrum (översikt)
756,Visa/stockholms-idrottsgymnasium/01796773-2530-4757-9851-9262e8b33526,SIG,Roslagstullsbacken 35,Stockholms idrottsgymnasium
757,Visa/lillholms-ro2--1972-1985/43b1d211-26b7-4f52-aedf-92702d28613c,,,Lillholms ro2  1972-1985
758,Visa/solhemsskolan/6b200a3f-f26d-448b-9a4a-92aebf7e7735,Solhems folkskola / Solhems skola,"Hässelbyvägen 40
senare Sörgårdsvägen 40",Solhemsskolan
759,Visa/kampingeskolan/d4ace71e-cffd-4ccc-ae92-92e373586243,,Tenstastråket 14,Kämpingeskolan
760,Visa/maltesholmsskolan/606f8690-ac4f-48eb-8ff4-92e5e637015e,(Maltesholmsskolans grundsärskola),Persikogatan 44-46,Maltesholmsskolan
761,Visa/sorgardsskolan/9c79f7c2-a193-44de-914f-92e7aa8a43b3,,Tenorgränd 5,Sörgårdsskolan
762,Visa/hogalids-handelsgymnasium/66850b4a-7538-4dd1-a1f6-92f652f5b0d3,,,Högalids handelsgymnasium
763,Visa/ehrenborgs-akermarks-forberedande-samskola/5eaecca3-299e-4277-abd5-935f7c42e2d0,Ehrenborg-Åkermarks skola,Karlbergsvägen 14,Ehrenborgs-Åkermarks förberedande samskola
764,Visa/alla-nationers-fria-skola/28785921-1b77-4875-98bf-9373a38d773c,,"-2006 Hus 30, Långbro park
2006-     Vårholmsbackarna 100",Alla nationers fria skola
765,Visa/hogdalens-skola/2f25ec92-7225-44bc-afb1-9386834804f2,,"Önskehemsgatan 15 1958-1961
Rangstagatan 18",Högdalens skola
766,Visa/bjursatraskolan/69abc1ea-9cc2-4fde-a2f5-938880476248,,Bjursätravägen 72,Bjursätraskolan
767,Visa/klara-allmanna-laroverk/633a3e44-c5bf-403f-8e32-93b0aeb7c7dd,Klara lägre allmänna läroverk / Klara kyrkskola / Klara barnskola / Klara trivialskola / Klara högre lärdosmsskola / Klara högre apologistskola /,se Historik mm !,Klara allmänna läroverk
768,Visa/magitaskolans-grundsarskola/9b369d1c-1118-4fa0-afc6-9402defa5298,Magitaskolan,,Magitaskolans grundsärskola
769,Visa/stockholm-science--innovation-school-ssis/ab99d885-781e-4625-b3b8-9408cd740a1e,,"Isafjordsgatan 39     2013
Borgarfjordsgatan 6C  2015",Stockholm Science & Innovation School (SSIS)
770,Visa/apolloniosskolan/3c4833f3-1da8-4366-8d5a-945227b4a810,"Apollonioskolan, Beta School",Stora Mans väg 11B,Apolloniosskolan
771,Visa/enskede-byskola/53e2e37e-9113-47fd-a64b-9461a641cb30,,Kolonivägen 17,Enskede byskola
772,Visa/distra-irs-bagenskolan/3cf9cb34-88f0-4ab1-a35f-949b46682914,"Bågenskolan / Distra resursskola Bågen / Distra IRS Bågenskolan / Bågenskolan, Distra IRS","2012-2014 Fatburs Brunnsgata 17(-19)
2014-? Högbergsgatan 18
2018- Ringvägen 85","Distra IRS, Bågenskolan"
773,Visa/clara-strombergs-skola/1ccbc121-96d3-447d-b2ca-94a5ca72f4a9,,,Clara Strömbergs skola
774,Visa/hokarangens-odro--1950-1991/34670c3f-6eed-4d1e-aae7-94f616b76739,,,Hökarängens öd/ro  1950-1991
775,Visa/stieberths-skola/4adf433b-4d88-4cba-a7af-950101b98b35,Qvatimoskolan,se Historik mm !,Stieberths skola
776,Visa/nya-lararinneseminariet/5d4a3ba6-d481-41a2-acda-9501931f4a22,Privatskoleseminariet / Lägre lärarinneseminariet,,Nya lärarinneseminariet
777,Visa/engelbrekts-privata-skola/481a65da-5a6d-487d-9187-957342e6a271,,,Engelbrekts privata skola
778,Visa/thorn-framtid/c6381de7-cac6-4e88-9fa0-9634177e09df,,Vinthundsvägen 159 A,Thorén Framtid
779,Visa/maria-magdalena----/c4b38250-dc46-4aa4-8a6d-96bb4a51d37b,,,Maria Magdalena . . . .
780,Visa/fredhalls-od--1944-1956/0e7113ba-cdbc-4919-bc1c-96e8b9bb6766,,,Fredhälls öd  1944-1956
781,Visa/rodabergsskolan/ba0a4574-cf73-494a-b3db-96ea73747374,,Upplandsgatan 100,Rödabergsskolan
782,Visa/vega-resursskola/93468171-d289-4109-bf7b-970650a596bb,Kista skoldaghem / Vegaskolan - skoldaghem,se Historik mm !,Vega resursskola
783,Visa/rackstaskolan/b9162f0a-3fae-437c-9e4c-970c4f41be49,,,Råckstaskolan
784,Visa/kungsholmens-enskilda-laroverk/b6d4bfa7-0de1-4a5d-aefa-979d07f90bad,Kungsholms enskilda läroverk,se Historik mm !,Kungsholmens enskilda läroverk
785,Visa/amu-center-jakobsberg/b4ff3e71-c212-468b-a155-97afedf2f898,,,AMU-center Jakobsberg
786,Visa/nikolai-forsamlings-hantverksskola/71d2db40-a5a8-438b-9e02-98322f195d13,Storkyrkoförsamlingens gesäll- och hantverksskola / Storkyrkoförsamlingens söndagsskola / Storkyrkoförsamlingens gesäll- och lärlingsskola,,Nikolai församlings hantverksskola
787,Visa/stockholms-folkskolors-polikliniker-for-tandsjukdomar/d21d6fa1-9fa1-4561-9723-983bbdb53932,Skoltandvård,,Stockholms folkskolors polikliniker för tandsjukdomar
788,Visa/lararhogskolan-i-stockholm-yrkestekniska-linjenyrkespedagogiska-linjen-i-1972-1977/fc4216ae-a924-4f05-9973-984d497b41ed,,,"Lärarhögskolan i Stockholm, Yrkestekniska linjen/Yrkespedagogiska linjen I 1972-1977"
789,Visa/sveaplans-gymnasium/891be559-ac7a-4996-be69-989d5925d9c0,Högre allmänna läroverket för flickor å Norrmalm,Sveavägen 158,Sveaplans gymnasium
790,Visa/olympen-svea-torn-grundskola-/3c80ebb4-6251-4fde-8d91-98c33393237e,"Olympen grundskola, Jungfrugatan / Olympen Svea torn/Stadion / Olympen grundskola Svea torn",Jungfrugatan 51-53 samt Löjtnantsgatan 25,Olympen Svea Torn grundskola
791,Visa/pahlmans-entreprenorsgymnasium-peg-/38fecc36-3923-4e4f-9a23-98d2db201617,,Vårberg,Påhlmans EntreprenörsGymnasium (P.E.G.) ??
792,Visa/atlas-resursskola/132fe50d-b76e-46ce-b977-98d64ef584ea,,Gråhundsvägen 82,Atlas resursskola
793,Visa/nikolai-folkskola/678aca2d-3a71-4159-9a42-98db1f7182b9,Storkyrkans folkskola,Skärgårdsgatan 6 (numera Själagårdsgatan),Nikolai folkskola
794,Visa/bagarmossens-skola/3f6712b7-ce4f-4095-8ba9-994011e48607,"(Bagarmossens skolas grundsärskola)
Bagarmossen Brotorps skolor",Emågatan 13,Bagarmossens skola
795,Visa/grimstaskolan/5c6e9cce-88bd-4325-82a9-994896153f3e,,Kanngjutargränd 12,Grimstaskolan
796,Visa/blomstermalaskolan/837281e4-19dc-4009-b239-998d9cfc5e53,Centralträdgården,Frislandsvägen 3,Blomstermålaskolan
797,Visa/vasa-tekniska-fackskola/784a5861-47a9-41a2-a3c1-99b690313917,Tekniska fackskolan / (Vasa tekniska gymnasium),Karlbergsvägen 15,Vasa tekniska fackskola
798,Visa/hagsatra-gymnasium/9b58fa7a-e716-450d-aac9-99b9d4c2c017,Hagsätra läroverk / Kommunala försöksgymnasiet i Hagsätra,Glanshammarsgatan 11-15,Hagsätra gymnasium
799,Visa/hjorthagens-gamla-skola/d4e68c46-b54d-4218-9b86-99bb29289793,Värtans folkskola,Jägmästargatan 2B,Hjorthagens gamla skola
800,Visa/forskola-arskurs/8ac4d534-0e8d-4881-b04b-99c844f6a84b,,,"Förskola, Årskurs"
801,Visa/akallaskolan/84df8ca0-040e-4e2c-9fb2-99cf87d17a08,,Helsingforsgatan 10,Akallaskolan
802,Visa/gransknings--och-examensnamnden-i-stockholm/7e7aede8-92fe-4e7b-9550-99d8096e2e71,Examens- och granskningsnämnden,,Gransknings- och examensnämnden i Stockholm
803,Visa/gubbangens-gymnasium/9c034de5-92ad-400f-b7ec-9a1c3d8f1094,Högre allmänna läroverket i Gubbängen / Samrealskolan i Gubbängen / Samrealskolan och kommunala gymnasiet i Gubbängen / Högre allmänna läroverket och kommunala gymnasiet i Gubbängen,"1950-1954 Fagersjövägen
1954-1984 Lingvägen 123 (1954-1966 enbart Lingvägen utan nr)",Gubbängens gymnasium
804,Visa/hamnskolans-hogstadium/3f6c27c2-564d-44ad-a4a8-9a3facb82d64,"Hamnskolan, Pysslingens Skolor - Hamnskolan",Vintertullstorget 2,Hamnskolans högstadium
805,Visa/boxtorps-skolhems-skola/d812c070-27f3-4334-b29e-9a6b236cbb98,,Stjärnhov,Boxtorps skolhems skola
806,Visa/sophie-baumgardts-skola/28b64d5f-d585-4582-b6de-9aa1bf69539c,,"Stortorget 3  1868
Tyska stallplan 1  1871
Slottbacken 6  1879",Sophie Baumgardts skola
807,Visa/fryshusets-grundskola/6d194f4b-4b8d-4ef3-a3ef-9aa7ad2e4e7b,,Mårtensdalsgatan 2-8,Fryshusets grundskola
808,Visa/friluftsskola--friluftsklasser/440f8ec9-5108-48b9-8f31-9ad118ebbafe,,,Friluftsskola / Friluftsklasser
809,Visa/sophie-adlersparres-skola/a7f78479-8004-4fde-9f3e-9ad81dec6ee9,,Klara strandgata 8 1879,Sophie Adlersparres skola
810,Visa/snitz-gymnasium/89370eef-3722-41d9-88ea-9af672389c70,,"Hagagatan 25A
Norrtullsgatan 6",Snitz gymnasium
811,Visa/kristofferskolan--kristofferskolans-gymnasium/b08d11d1-49fc-4b3e-9914-9b5edf80d5dc,,"1952 Malmskillnadsgatan 56-58
1959 Karlavägen 25
1967 Marklandsbacken 11",Kristofferskolan / Kristofferskolans gymnasium.
812,Visa/angby-privata-skola/c36b8622-b998-45d1-abd4-9b72bb9fe102,,,Ängby privata skola
813,Visa/katarina-vastra-skola/d85e6f07-b24f-4471-bcc4-9b8aff931ae8,Skolan för bildbara sinnesslöa barn / Katarina västra skola ro  1959-1971 / Stockholms stads skola för bildbara sinnesslöa barn,Katarina västra kyrkogata 10,Katarina västra skola
814,Visa/stockholms-intensivsvenska-for-akademiker/b11752c9-15cb-4061-9e2f-9b8bcd22e706,,S:t Göransgatan 95,Stockholms intensivsvenska för akademiker
815,Visa/bandhagens-gymnasium/2cf0cf8b-0bef-4b07-9df8-9bcee386c738,Bandhagens läroverk / Kommunala gymnasiet i Bandhagen,Trollesundsvägen 15-19,Bandhagens gymnasium
816,Visa/satra-vuxengymnasium/119e2e0d-85ad-4dad-98cf-9be00839dc6f,,,Sätra vuxengymnasium
817,Visa/eu-it-gymnasiet-hokarangen--eu-it-gymnasiet-liljeholmen--eu-it-gymnasiet-danderyd--eu-it/f411a5fb-536c-41e0-805a-9c4f67f29e50,,,EU IT-gymnasiet Hökarängen / EU IT-gymnasiet Liljeholmen / EU IT-gymnasiet Danderyd / EU IT
818,Visa/stockholms-fastighetsskola/dc4090bc-f249-4a41-9d88-9cd8017cd817,,Kungsholmsgatan 72,Stockholms fastighetsskola
819,Visa/st-gorans-gymnasium/f928dbc6-596a-4dc1-9dd4-9ce755957261,,S:t Göransgatan 95,S:t Görans gymnasium
820,Visa/kateketskola--katekesskola/cb7f5c0e-e9b3-4111-a49c-9d179db10e53,,,Kateketskola / Katekesskola
821,Visa/ceciliaskolan/571d363f-e352-4ccc-9089-9d222b96b484,Ebba Simplers skola / Simplers skola / Augusta Simpler,,Ceciliaskolan
822,Visa/jarva-resursskola/78542bb9-cbd7-4258-8409-9d3a9b934186,,Hjulstastråket 15,Järva resursskola
823,Visa/tekniska-skolan-i-stockholm/f27d84f6-4499-4c14-845f-9dae7ad65482,Slöjdskolan i Stockholm / Svenska slöjdföreningens skola / Svenska slöjdföreningens söndags- och aftonskola /  Söndagsritskola för hantverkare / Mandelgrens söndagsritskola,,Tekniska skolan i Stockholm
824,Visa/kampetorps-odro--1955-1970/b6ba9aa9-3bb5-47d5-aa62-9dda991ae5a4,,,Kämpetorps öd/ro  1955-1970
825,Visa/odengymnasiet/ea59bc82-4dab-4010-9c87-9df4b699135f,Odenplansgymnasiet,2018- Instrumentvägen 31,Odengymnasiet
826,Visa/stockholms-byggtekniska-gymnasium/15081ad1-5466-4b05-829e-9e1e03c13123,Kista gymnasium / (Stockholms byggtekniska gymnasiesärskola / Kista gymnasiesärskola),Torshamnsgatan 10-12,Stockholms byggtekniska gymnasium
827,Visa/katarina-sodra-od--1903-1944/052084a4-3789-49ca-8468-9e23aed38716,,,Katarina södra öd  1903-1944
828,Visa/stockholms-stads-skola-for-utbildning-av-mentalsjukvardspersonal/51e37373-8983-41f9-82f6-9e4876d418fa,,,Stockholms stads skola för utbildning av mentalsjukvårdspersonal
829,Visa/kistagards-skoldaghem/e21f8e93-5c2e-4847-9b85-9e508d9d836b,,,Kistagårds skoldaghem
830,Visa/kronprinsessan-lovisas-barnsjukhus-skola/b8a573ab-09d2-4c00-ba55-9e8b9eafb9b7,,Polhemsgatan 30,Kronprinsessan Lovisas barnsjukhus skola
831,Visa/bredangsskolan/cb639261-2aea-4761-aa19-9e92402ea48c,(Bredängsskolans grundsärskola),Bredängstorg 21,Bredängsskolan
832,Visa/apologistskola/82038e8a-b3fe-4669-9ce4-9ea6fc87f49a,,,Apologistskola
833,Visa/yrkesrad/5041bc2a-5c4a-49a8-95ff-9ed160e7ff87,Yrkesnämnd,,Yrkesråd
834,Visa/st-orjans-jourgrupp/8ed48256-a722-4456-836f-9eefaa032364,S:t Örjans akutgrupp / Vintertullsskolan,"1994-1995 Barnängsgatan 12 (Sofiaskolan)
senare Vintertullstorget 54-56",S:t Örjans jourgrupp
835,Visa/realgymnasiet/941bd7d6-073f-4e54-a536-9f17f06d27b2,Realgymnasiet i Stockholm,"Trekantsvägen 1
Trekantsvägen 3 (anges på nätet 2014)",Realgymnasiet
836,Visa/pedagogiska-institutet/17df5176-1843-4952-9b88-9f250afc483a,Pedagogiska institutets förskoleseminarium / Södra KFUK:s pedagogiska institut,,Pedagogiska institutet
837,Visa/skolstyrelsen-sks/07ecbb81-6ad6-437e-91df-9f52329eb7cd,Stockholms skolstyrelse,,Skolstyrelsen (SkS)
838,Visa/pedagogiskt-centrum-pc/6b6e2b38-7d2e-421d-8c2f-9fa4208386b7,,,Pedagogiskt centrum (PC)
839,Visa/vestre-betalningsskole/387c5b4e-a08e-4f61-a528-9fb8715a8c4b,,,Vestre betalningsskole
840,Visa/stadsdelsnamnder/d9360b94-025f-4903-a541-9fc12041e746,,,Stadsdelsnämnder
841,Visa/polhemsgymnasiet/5bfb78e0-9dd2-4d8a-baa7-9fe40c01c059,,Polhemsgatan 35,Polhemsgymnasiet
842,Visa/gymnasieslussen--iv-slussen/611b5117-1584-40b1-9cd0-9fe5b945b0aa,,Hornsgatan 124,Gymnasieslussen / IV-slussen
843,Visa/internationella-engelska-skolan-i-skarholmen/819bbe08-03bc-4a44-a510-a00fddf61f87,"IES Skärholmen, Internationella Engelska Skolan Skärholmen",Storsätravägen 8,Internationella Engelska Skolan i Skärholmen
844,Visa/murbeckska-uppfostringsanstalten/672ce1d7-fbb7-4d52-9493-a03d5c647f3d,Murbeckska inrättningen / Murbeckska barnhemmets folkskola / Murbeckska inrättningen för fattiga flickor,se Historik mm !,Murbeckska uppfostringsanstalten
845,Visa/hasselbystrands-ro2--1962-1991/a77bf774-bd6a-41df-bfcc-a08440162f45,,,Hässelbystrands ro2  1962-1991
846,Visa/pilgrimsskolan/81908a30-04d4-43f7-a697-a09340d098f7,,Pilgrimsvägen 1,Pilgrimsskolan
