caption.sv,uuid
"Andersson, Elna Eugenia (1876 - )",ef1c421c-ce11-4588-99a8-e814d07b26ba
"Andersson, Ernst Georg (1879 - 1955)",e6921bb7-6087-4c17-8d8e-e207671a00a8
"Andersson, Eskil (1887 - 1939)",78c23b68-4091-4371-b5cc-a32510738ca2
"Andersson, Eva Matilda (1899 - )",851fdda5-154d-45d2-ba90-506c566ebbb6
"Andersson, Frans Fridolf (1888 - 1924)",204d5df1-fcd0-41e3-9bed-3c7f462c948e
"Andersson, Gunnar (1887 - 1954)",b02f4bb7-fd9f-42b2-be4d-4fe1788177fe
"Andersson, Gustaf Arvid (1886 - 1963)",399759db-2e23-4f87-93b0-97e45ff7e251
"Andersson, Gustaf Emil (1868 - 1943)",233ffb8f-db07-43c3-8422-a9fc0e356475
"Andersson, Gustav Albert (1898 - 1966)",9c3e9ba6-c951-4578-821f-46a3257f4af7
"Andersson, Hans (1860 - 1901)",090aad1d-6cad-403b-a610-868877a2c67d
"Andersson, Harald Joel (1900 - )",2312b41e-dfde-49f0-88ad-c78e19824538
"Andersson, Helga (1890 - 1925)",b2cf31bf-83f8-4cac-a3c3-327584ba3b62
"Andersson, Herman Georg (1856 - 1909)",41499b98-7303-4368-80fe-2edc41446536
"Andersson, Hilda (1865 - 1943)",fb3b8d91-914a-4fa2-8ff9-71dd12dc9d68
"Andersson, Hilda Amanda (1870 - 1907)",bd1c851a-b481-44d6-b753-db1343597a6e
"Andersson, Hilma Charlotta (1879 - 1934)",e3071982-168a-4c93-9117-66d2ceff8b2f
"Andersson, Hilma Christina (1886 - )",4d6797cf-39ad-43ca-b3f7-2d0903f5057f
"Andersson, Hilma Josef:a (1866 - )",8fda4cbc-1f39-4101-a111-9f550d99394a
"Andersson, Hjalmar (1874 - 1954)",f928a897-0906-4b64-83bb-9f3c532d45ef
"Andersson, Hulda Kristina (1875 - 1950)",4403d167-76a0-4fd1-a418-dff2b5ef7848
"Andersson, Ida Constantia (1858 - 1947)",ab3234cf-7f29-4fdf-b6da-c8526a3c53bc
"Andersson, Ida Maria Kristina (1873 - 1959)",37ab76c8-a5c0-4633-a2db-ab344df17c0d
"Andersson, Ingeborg Viktoria (1882 - 1957)",5ca29597-cb67-418d-81b1-5738bb74a2dd
"Andersson, Ingegerd Maria Charlotta (1862 - 1897)",099be428-6c24-4f94-80f9-0efe53cd30d3
"Andersson, Ivar Viktor (1896 - 1974)",5fdb6381-2a96-491d-aedb-106750a09707
"Andersson, Joël (1885 - 1979)",e5e6df8b-e99c-4fce-8e60-fdc7722f7930
"Andersson, Johan (1836 - )",c04f1650-b071-4a72-93a8-6fd603edffb6
"Andersson, Johan (1845 - 1896)",2f132667-65b2-4dbe-bd69-66fa99c6ea9d
"Andersson, Johan Reinhold (1866 - )",3bda7bac-0edf-46d2-bb51-b1ee90a122fd
"Andersson, Johanna Cecilia (1890 - )",f8354e6c-04fc-495c-9cd6-e71bee79ebb8
"Andersson, John Albin (1868 - 1940)",a3f4b221-00fe-4bd1-918e-c50ea9750632
"Andersson, K. G.",3b557d99-0207-42d5-b988-ec2c6c6fcd1d
"Andersson, Karin Charlotta (1892 - 1970)",5297aa89-2dd2-4c0d-a739-49a7ef7d3142
