caption.sv,uuid
Berger & Krook (Fotograffirma),f120e6ee-b00a-4664-8ca2-b6f5351d9bc3
Bergström & Karlsson (Fotograffirma),d18c656e-82c6-4a67-a0da-7d00fb670d48
"Bergström, Paul., AB (Fotograffirma)",98f18f9a-6d26-4526-b6ca-56711d546e72
Bernhard & Oscar Hakelier (Fotograffirma),efd3b582-b0a9-4576-aa38-458fa52a3f7d
Betty Larssons Eftr. (Fotograffirma),b747c24e-9aff-4de2-b5fa-b56175eb1e33
"Birger jarl, Atelier (Fotograffirma)",becac5d2-79c6-40de-b9fc-e8a96798f61e
Björkman & Uhr (Fotograffirma),f2a101e3-c753-4e34-b944-c6a820ac09a1
Björkman och Urhrs atelier (Fotograffirma),038a67c5-503e-4bfb-907f-075b37284790
Björkzells Atelier (Fotograffirma),5d8470f4-4814-4a2d-b97e-a8aa27514abc
Blixt & Co (Fotograffirma),4d5d176d-d14e-4c80-be37-6a8328a9a09e
Blombergs bilder (Fotograffirma),90c6d942-1e4e-4f0b-a168-870eebdf0c31
Blomdahl & Lundberg (Fotograffirma),79c6cacf-8bb3-473d-a055-ec2e97e44d9e
Bolling & Co (Fotograffirma),abb2c247-c830-4a38-b9e9-922746e16246
Bruno Atelier (Fotograffirma),96fbb88e-4c58-4228-bb31-918a86617e73
Bröderna Andersson (Fotograffirma),c7521c60-2661-4f7d-bf89-8dbf816cc309
Bröderna Hagman (Fotograffirma),7e6576cf-7ab2-490a-9ab6-7c4afb61d6cf
C. & Ebba Cavetz (Fotograffirma),c237b0c9-ea18-4c32-8c11-367713961007
C. A. Askling & J. A. Carlsén (Fotograffirma),b95ffae3-3b77-4d4f-859c-483876f3728a
C. A. Grellstrands Eftr. (Fotograffirma),3dfe6645-b0ce-4452-ac72-11d5c18ce5e6
C. Aug. Askling & W. Duhs (Fotograffirma),a1039624-b326-447a-a3db-dd3c40747364
C. Berglunds Eftr. (Fotograffirma),0f87ef9c-7f91-4f91-b51b-f1e850b953a1
C. Dahlquist (Fotograffirma),edffd019-ca06-4474-a5b6-fba334b17d10
C. F. Linge & Co (Fotograffirma),def54ec4-b50f-42d1-8ba1-f1af7dff17b9
C. G. Kahls Fotografiaffär (Fotograffirma),2a5e4d06-4ac3-436c-938a-ca7edba99908
Carl Hansen & Co (Fotograffirma),36c399c4-3bff-4f24-83e1-d85c1da3f2ed
Carl Lindblads Eftr. (Fotograffirma),2f874fe5-1c22-4e89-a7e6-6152b9777a42
Carl Lindquists Eftr. (Fotograffirma),fe80b592-f665-468d-844c-3a2518289501
"Carlbaum, Ateljé (Fotograffirma)",ecd57f50-b0cd-4e85-a6df-a14e469bdfc1
"Casino, Atelie (Fotograffirma)",24fc98c4-9c0f-458f-b60b-ff345243d152
Cederbergs Eftr. (Fotograffirma),a61fe293-4cab-41c0-bf45-a01d7722d395
Central Atelieren (Fotograffirma),50805633-83ef-468b-bf37-0809554a17b2
Central Ateliern (Fotograffirma),7c41b765-fc22-455f-96cd-9e66afa44769
Central-Atelieren (Fotograffirma),941c04ce-bca7-48a5-bf6d-0a446f091f6f
"Central, Ateljé (Fotograffirma)",41c4ecf6-73f1-4d32-ae48-555a842dcd61
Centralateliern (Fotograffirma),a06d677c-35ef-448b-90e7-1c9aff3bcc5d
Ch. Granbom (Fotograffirma),d9b35deb-da7a-497b-a53d-4013926e7de8
Clasén & Dannenfeldt (Fotograffirma),06ecddce-6020-400d-8b70-4af436e6fc5c
Clasén & Renard (Fotograffirma),76dfa7e9-0f8c-4fc8-8d46-530202eaeed5
Cohen's Atelier (Fotograffirma),3958e914-7b49-4797-879a-c15da5279b84
Continental Foto (Fotograffirma),d8a94611-ce0d-4716-8242-f5dda5353d90
Dahllöf & Hedlund (Fotograffirma),94b1642f-197a-4165-9e98-108561dba81e
Dahlquist & Co (Fotograffirma),71682cd4-4b74-4efc-82c0-df80bbc808ed
Dahlqvists Atelier (Fotograffirma),98156dc6-c17c-499f-8db6-48c0eeeb4bfa
"Dawidson, Atelier (Fotograffirma)",4248d5d3-cd01-4df8-bb2d-ddff9fea0aa0
Didrik Janssons Eftr. (Fotograffirma),144ef2cd-68fb-47cb-a279-81701fd3b5a9
Djurfeldt & Co Agnes (Fotograffirma),2eb87df5-b93d-4a0b-90a4-9bb577b63ac0
Dorothé Giljussons Fotografi Atelier (Fotograffirma),ed5e71ad-920a-4cc4-b08c-48c553eaa14d
"Drott, Atelier (Fotograffirma)",83a56ffd-155d-4a18-a787-7afb407bea4a
Dryselii Fotografi-Atelier (Fotograffirma),9a757eb4-1937-4e6e-b13e-d842173013f2
E. Larsson (Fotograffirma),1f88f5e3-c15d-426e-bf3e-f7b3db1fdc40
E. Larssons Eftr. (Fotograffirma),8fe7d108-5e23-4632-87b4-3fa7ede67044
Earlinghs Förstoringsatelier (Fotograffirma),cdc4f698-93ce-44b2-ab86-8e32d7993c7d
Ebba Lindstedts Eftr. (Fotograffirma),ea024908-9f4d-4ecd-8644-f82d9a8d88b9
Ebba Lindstedts Fotografi-Atelier (Fotograffirma),05b87711-4b56-4096-823b-775f9efa22b0
Eiserman & Co (Fotograffirma),df8c4be0-ca17-4b60-971e-2b89fbf22438
"Ekman, R., Ekman, Rich. (Fotograffirma)",732d0afa-57ea-4e79-941e-a09f2c98830e
Ekstrands Eftr. (Fotograffirma),21c96400-921f-46d0-8062-802848d74275
"Ekström, Atelier (Fotograffirma)",f53cd7ac-eb15-4613-9a0f-8beb09668267
Elektriska atelieren (Fotograffirma),63ea31e9-4ed5-4763-bf50-b4f2b8781ba1
Elisabeth Dawidson (Fotograffirma),7473a04b-e141-4d94-9b2c-cc3ebe0c8e7c
Elisabeth Elfström & Co (Fotograffirma),835ff3f4-7d93-4566-8d58-eb405ff99f19
Elise Hirsch & Co (Fotograffirma),27df33e2-2e84-4e32-ae94-30be96022e8c
"Elite, Atelier (Fotograffirma)",3b555bc5-e5e6-4a80-bd1c-1b4a39d24b72
Emil Agerbundsens Fotografiatelier (Fotograffirma),a33db8b6-45ed-4d28-b42a-64af4cfa6e4e
Eric Kreuger & Fredrik Ebeling (Fotograffirma),1e08f245-4be2-40ef-b961-dde16361b94b
Ericsson & Larsson (Fotograffirma),de16619b-ea0d-49eb-be49-a061d0275807
Erland & Larsson (Fotograffirma),0e64edfc-4b28-463d-97a7-a3a9fd09240d
Ernst & Co (Fotograffirma),f64355e0-f6fe-497e-9b86-908d1d896b91
Eskil A:son - Z. Fröding & Co (Fotograffirma),a9984fc9-3186-4bba-a906-90385407f1c2
Eskilstuna fotografiska magasin (Fotograffirma),c576f234-bcf9-44aa-9206-65f0abf9ef77
Eurenius & Quist (Fotograffirma),8b25eebc-9ef1-45ec-98f5-04845f38d71c
Eva Bäcks Eftr. (Fotograffirma),86edd82b-af3a-40cf-899c-cdb5a694bfc7
F.d. Berger & Krook (Fotograffirma),037a672c-f40a-4f9e-9a6c-8bd1b4494c88
"Falk, Atelier (Fotograffirma)",46d5be09-2f15-4e72-a88c-cb67012106c0
"Favorit, Atelier (Fotograffirma)",a5be4bd8-139c-4273-859b-d3fe331f7349
"Fenix, Atelier (Fotograffirma)",df4e062b-9685-4677-bc03-a7437b22a400
Firma A.J. Hagnell (Fotograffirma),95471d20-a7f3-4638-a75a-e9dd5617106a
Firma Eric Gravé (Fotograffirma),724e0ad3-fbb0-479c-92a7-e25c571e361c
Firma Nanny Ekström (Fotograffirma),1128d4fd-368f-4d78-ae17-e5e3e7cd7588
Firma Systrarna Hallberg (Fotograffirma),226e46cf-762d-4be9-953c-e74732b2919f
Forsners Fotografiska Magasin (Fotograffirma),bd5ae632-bd8d-4e0e-99d0-fbc666d5a67a
Fotoateljé Ebba Sundevall & Co (Fotograffirma),b6ebf3c4-a180-4d90-ae8c-cee43a61c15d
Fotografatelieren (Fotograffirma),0fdbeb3f-47d9-4796-a3e4-496ef8e44ea8
